知りたい分類,定義,出す場所,品目,出し方詳細,備考
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が65㎝以下のもの",ゴミステーション（市が回収）,洗面器,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、65cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が66㎝以下のもの",ゴミステーション（市が回収）,CD・DVD,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、66cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が67㎝以下のもの",ゴミステーション（市が回収）,ブルーレイディスク,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、67cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が68㎝以下のもの",ゴミステーション（市が回収）,歯ブラシ,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、68cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が69㎝以下のもの",ゴミステーション（市が回収）,ハンガー,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、69cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が70㎝以下のもの",ゴミステーション（市が回収）,まな板,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、70cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が71㎝以下のもの",ゴミステーション（市が回収）,食器,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、71cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が72㎝以下のもの",ゴミステーション（市が回収）,食品の袋（野菜、菓子、パン、めん類、冷凍食品などの袋）,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、72cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が73㎝以下のもの",ゴミステーション（市が回収）,生鮮食品などに使われたラップ,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、73cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
資源(プラスチック),"・プラスチック製品
・プラスチック製容器包装
・1 0 0％プラスチックでできている１辺が74㎝以下のもの",ゴミステーション（市が回収）,日用品の袋（衣料品、トイレットペーパー、薬品、化粧品などの袋） ,"1：汚れているものは洗って乾かす
2：指定袋（黄色）に入れて口をしっかりとしばる(テープなどでとめるのは×)
3：朝８時までに決められたごみステーションへ

※袋に入れてエコらんど・篠目リサイクルステーションへも持ち込めます。
※50cm を超えるものは、切ったりこわしたりして50cm 以下にして袋に
　入れるか、74cm以下にできないものは次のとおりとしてください。
　・軟らかいプラスチック製品→環境クリーンセンターへ持ち込む。
　・硬いプラスチック製品→エコらんどまたはリサイクルプラザへ持ち込む。
　持ちこむことが難しい場合は、 粗大ごみ戸別有料収集をご利用ください。",
